period_id,gl_account_id,type_id,amount
11,7,2,500
12,7,2,500
13,7,2,500
14,7,2,500
15,7,2,500
16,7,2,500
17,7,2,500
18,7,2,500
19,7,2,500
20,7,2,500
21,7,2,500
22,7,2,500
23,7,2,500
24,7,2,500
25,7,2,500
26,7,2,500
27,7,2,500
28,7,2,500
29,7,2,500
30,7,2,500
31,7,2,500
32,7,2,500
33,7,2,500
34,7,2,500
35,7,2,500
36,7,2,500
1,10,2,108000
2,10,2,108000
3,10,2,108000
4,10,2,108000
5,10,2,108000
6,10,2,108000
7,10,2,108000
8,10,2,108000
9,10,2,108000
10,10,2,108000
11,10,2,108000
12,10,2,108000
13,10,2,113400
14,10,2,113400
15,10,2,113400
16,10,2,113400
17,10,2,113400
18,10,2,113400
19,10,2,113400
20,10,2,113400
21,10,2,113400
22,10,2,113400
23,10,2,113400
24,10,2,113400
25,10,2,119070
26,10,2,119070
27,10,2,119070
28,10,2,119070
29,10,2,119070
30,10,2,119070
31,10,2,119070
32,10,2,119070
33,10,2,119070
34,10,2,119070
35,10,2,119070
36,10,2,119070
1,11,2,10451
2,11,2,10451
3,11,2,10451
4,11,2,10451
5,11,2,10451
6,11,2,10451
7,11,2,10451
8,11,2,10451
9,11,2,10451
10,11,2,10451
11,11,2,10451
12,11,2,10451
13,11,2,10974
14,11,2,10974
15,11,2,10974
16,11,2,10974
17,11,2,10974
18,11,2,10974
19,11,2,10974
20,11,2,10974
21,11,2,10974
22,11,2,10974
23,11,2,10974
24,11,2,10974
25,11,2,11522
26,11,2,11522
27,11,2,11522
28,11,2,11522
29,11,2,11522
30,11,2,11522
31,11,2,11522
32,11,2,11522
33,11,2,11522
34,11,2,11522
35,11,2,11522
36,11,2,11522
1,13,2,80417
2,13,2,80417
3,13,2,80417
4,13,2,80417
5,13,2,80417
6,13,2,80417
7,13,2,80417
8,13,2,80417
9,13,2,80417
10,13,2,80417
11,13,2,80417
12,13,2,80417
13,13,2,84438
14,13,2,84438
15,13,2,84438
16,13,2,84438
17,13,2,84438
18,13,2,84438
19,13,2,84438
20,13,2,84438
21,13,2,84438
22,13,2,84438
23,13,2,84438
24,13,2,84438
25,13,2,88659
26,13,2,88659
27,13,2,88659
28,13,2,88659
29,13,2,88659
30,13,2,88659
31,13,2,88659
32,13,2,88659
33,13,2,88659
34,13,2,88659
35,13,2,88659
36,13,2,88659
1,14,2,12759
2,14,2,12759
3,14,2,12759
4,14,2,12759
5,14,2,12759
6,14,2,12759
7,14,2,12759
8,14,2,12759
9,14,2,12759
10,14,2,12759
11,14,2,12759
12,14,2,12759
13,14,2,13397
14,14,2,13397
15,14,2,13397
16,14,2,13397
17,14,2,13397
18,14,2,13397
19,14,2,13397
20,14,2,13397
21,14,2,13397
22,14,2,13397
23,14,2,13397
24,14,2,13397
25,14,2,14067
26,14,2,14067
27,14,2,14067
28,14,2,14067
29,14,2,14067
30,14,2,14067
31,14,2,14067
32,14,2,14067
33,14,2,14067
34,14,2,14067
35,14,2,14067
36,14,2,14067
1,16,2,8417
2,16,2,8417
3,16,2,8417
4,16,2,8417
5,16,2,8417
6,16,2,8417
7,16,2,8417
8,16,2,8417
9,16,2,8417
10,16,2,8417
11,16,2,8417
12,16,2,8417
13,16,2,8838
14,16,2,8838
15,16,2,8838
16,16,2,8838
17,16,2,8838
18,16,2,8838
19,16,2,8838
20,16,2,8838
21,16,2,8838
22,16,2,8838
23,16,2,8838
24,16,2,8838
25,16,2,9279
26,16,2,9279
27,16,2,9279
28,16,2,9279
29,16,2,9279
30,16,2,9279
31,16,2,9279
32,16,2,9279
33,16,2,9279
34,16,2,9279
35,16,2,9279
36,16,2,9279
1,17,2,7300
2,17,2,7300
3,17,2,7300
4,17,2,7300
5,17,2,7300
6,17,2,7300
7,17,2,7300
8,17,2,7300
9,17,2,7300
10,17,2,7300
11,17,2,7300
12,17,2,7300
13,17,2,7665
14,17,2,7665
15,17,2,7665
16,17,2,7665
17,17,2,7665
18,17,2,7665
19,17,2,7665
20,17,2,7665
21,17,2,7665
22,17,2,7665
23,17,2,7665
24,17,2,7665
25,17,2,8048
26,17,2,8048
27,17,2,8048
28,17,2,8048
29,17,2,8048
30,17,2,8048
31,17,2,8048
32,17,2,8048
33,17,2,8048
34,17,2,8048
35,17,2,8048
36,17,2,8048
1,20,2,158750
2,20,2,158750
3,20,2,158750
4,20,2,158750
5,20,2,158750
6,20,2,158750
7,20,2,158750
8,20,2,158750
9,20,2,158750
10,20,2,158750
11,20,2,158750
12,20,2,158750
13,20,2,166688
14,20,2,166688
15,20,2,166688
16,20,2,166688
17,20,2,166688
18,20,2,166688
19,20,2,166688
20,20,2,166688
21,20,2,166688
22,20,2,166688
23,20,2,166688
24,20,2,166688
25,20,2,175022
26,20,2,175022
27,20,2,175022
28,20,2,175022
29,20,2,175022
30,20,2,175022
31,20,2,175022
32,20,2,175022
33,20,2,175022
34,20,2,175022
35,20,2,175022
36,20,2,175022
1,21,2,19679
2,21,2,19679
3,21,2,19679
4,21,2,19679
5,21,2,19679
6,21,2,19679
7,21,2,19679
8,21,2,19679
9,21,2,19679
10,21,2,19679
11,21,2,19679
12,21,2,19679
13,21,2,20663
14,21,2,20663
15,21,2,20663
16,21,2,20663
17,21,2,20663
18,21,2,20663
19,21,2,20663
20,21,2,20663
21,21,2,20663
22,21,2,20663
23,21,2,20663
24,21,2,20663
25,21,2,21696
26,21,2,21696
27,21,2,21696
28,21,2,21696
29,21,2,21696
30,21,2,21696
31,21,2,21696
32,21,2,21696
33,21,2,21696
34,21,2,21696
35,21,2,21696
36,21,2,21696
1,32,2,9000
2,32,2,9000
3,32,2,9000
4,32,2,9000
5,32,2,9000
6,32,2,9000
7,32,2,9000
8,32,2,9000
9,32,2,9000
10,32,2,9000
11,32,2,9000
12,32,2,9000
13,32,2,9450
14,32,2,9450
15,32,2,9450
16,32,2,9450
17,32,2,9450
18,32,2,9450
19,32,2,9450
20,32,2,9450
21,32,2,9450
22,32,2,9450
23,32,2,9450
24,32,2,9450
25,32,2,9923
26,32,2,9923
27,32,2,9923
28,32,2,9923
29,32,2,9923
30,32,2,9923
31,32,2,9923
32,32,2,9923
33,32,2,9923
34,32,2,9923
35,32,2,9923
36,32,2,9923
1,33,2,0
2,33,2,0
3,33,2,0
4,33,2,0
5,33,2,0
6,33,2,0
7,33,2,0
8,33,2,0
9,33,2,0
10,33,2,0
11,33,2,0
12,33,2,0
13,33,2,0
14,33,2,0
15,33,2,0
16,33,2,0
17,33,2,0
18,33,2,0
19,33,2,0
20,33,2,0
21,33,2,0
22,33,2,0
23,33,2,0
24,33,2,0
25,33,2,0
26,33,2,0
27,33,2,0
28,33,2,0
29,33,2,0
30,33,2,0
31,33,2,0
32,33,2,0
33,33,2,0
34,33,2,0
35,33,2,0
36,33,2,0
1,23,2,37000
2,23,2,37000
3,23,2,37000
4,23,2,37000
5,23,2,37000
6,23,2,37000
7,23,2,37000
8,23,2,37000
9,23,2,37000
10,23,2,37000
11,23,2,37000
12,23,2,37000
13,23,2,38850
14,23,2,38850
15,23,2,38850
16,23,2,38850
17,23,2,38850
18,23,2,38850
19,23,2,38850
20,23,2,38850
21,23,2,38850
22,23,2,38850
23,23,2,38850
24,23,2,38850
25,23,2,40793
26,23,2,40793
27,23,2,40793
28,23,2,40793
29,23,2,40793
30,23,2,40793
31,23,2,40793
32,23,2,40793
33,23,2,40793
34,23,2,40793
35,23,2,40793
36,23,2,40793
1,24,2,3544
2,24,2,3544
3,24,2,3544
4,24,2,3544
5,24,2,3544
6,24,2,3544
7,24,2,3544
8,24,2,3544
9,24,2,3544
10,24,2,3544
11,24,2,3544
12,24,2,3544
13,24,2,3721
14,24,2,3721
15,24,2,3721
16,24,2,3721
17,24,2,3721
18,24,2,3721
19,24,2,3721
20,24,2,3721
21,24,2,3721
22,24,2,3721
23,24,2,3721
24,24,2,3721
25,24,2,3907
26,24,2,3907
27,24,2,3907
28,24,2,3907
29,24,2,3907
30,24,2,3907
31,24,2,3907
32,24,2,3907
33,24,2,3907
34,24,2,3907
35,24,2,3907
36,24,2,3907
1,26,2,4700
2,26,2,4700
3,26,2,4700
4,26,2,4700
5,26,2,4700
6,26,2,4700
7,26,2,4700
8,26,2,4700
9,26,2,4700
10,26,2,4700
11,26,2,4700
12,26,2,4700
13,26,2,4935
14,26,2,4935
15,26,2,4935
16,26,2,4935
17,26,2,4935
18,26,2,4935
19,26,2,4935
20,26,2,4935
21,26,2,4935
22,26,2,4935
23,26,2,4935
24,26,2,4935
25,26,2,5182
26,26,2,5182
27,26,2,5182
28,26,2,5182
29,26,2,5182
30,26,2,5182
31,26,2,5182
32,26,2,5182
33,26,2,5182
34,26,2,5182
35,26,2,5182
36,26,2,5182
1,27,2,0
2,27,2,0
3,27,2,0
4,27,2,0
5,27,2,0
6,27,2,0
7,27,2,0
8,27,2,0
9,27,2,0
10,27,2,0
11,27,2,0
12,27,2,0
13,27,2,0
14,27,2,0
15,27,2,0
16,27,2,0
17,27,2,0
18,27,2,0
19,27,2,0
20,27,2,0
21,27,2,0
22,27,2,0
23,27,2,0
24,27,2,0
25,27,2,0
26,27,2,0
27,27,2,0
28,27,2,0
29,27,2,0
30,27,2,0
31,27,2,0
32,27,2,0
33,27,2,0
34,27,2,0
35,27,2,0
36,27,2,0
1,29,2,55833
2,29,2,55833
3,29,2,55833
4,29,2,55833
5,29,2,55833
6,29,2,55833
7,29,2,55833
8,29,2,55833
9,29,2,55833
10,29,2,55833
11,29,2,55833
12,29,2,55833
13,29,2,58625
14,29,2,58625
15,29,2,58625
16,29,2,58625
17,29,2,58625
18,29,2,58625
19,29,2,58625
20,29,2,58625
21,29,2,58625
22,29,2,58625
23,29,2,58625
24,29,2,58625
25,29,2,61556
26,29,2,61556
27,29,2,61556
28,29,2,61556
29,29,2,61556
30,29,2,61556
31,29,2,61556
32,29,2,61556
33,29,2,61556
34,29,2,61556
35,29,2,61556
36,29,2,61556
1,30,2,10939
2,30,2,10939
3,30,2,10939
4,30,2,10939
5,30,2,10939
6,30,2,10939
7,30,2,10939
8,30,2,10939
9,30,2,10939
10,30,2,10939
11,30,2,10939
12,30,2,10939
13,30,2,11486
14,30,2,11486
15,30,2,11486
16,30,2,11486
17,30,2,11486
18,30,2,11486
19,30,2,11486
20,30,2,11486
21,30,2,11486
22,30,2,11486
23,30,2,11486
24,30,2,11486
25,30,2,12060
26,30,2,12060
27,30,2,12060
28,30,2,12060
29,30,2,12060
30,30,2,12060
31,30,2,12060
32,30,2,12060
33,30,2,12060
34,30,2,12060
35,30,2,12060
36,30,2,12060
