period_id,gl_account_id,value_type_id,amount
11,7,2,500
12,7,2,500
13,7,2,500
14,7,2,500
15,7,2,500
16,7,2,500
17,7,2,500
18,7,2,500
19,7,2,500
20,7,2,500
21,7,2,500
22,7,2,500
23,7,2,500
24,7,2,500
25,7,2,500
26,7,2,500
27,7,2,500
28,7,2,500
29,7,2,500
30,7,2,500
31,7,2,500
32,7,2,500
33,7,2,500
34,7,2,500
35,7,2,500
36,7,2,500
1,10,2,108000
2,10,2,108000
3,10,2,108000
4,10,2,108000
5,10,2,108000
6,10,2,108000
7,10,2,108000
8,10,2,108000
9,10,2,108000
10,10,2,108000
11,10,2,108000
12,10,2,108000
13,10,2,113400
14,10,2,113400
15,10,2,113400
16,10,2,113400
17,10,2,113400
18,10,2,113400
19,10,2,113400
20,10,2,113400
21,10,2,113400
22,10,2,113400
23,10,2,113400
24,10,2,113400
25,10,2,119070
26,10,2,119070
27,10,2,119070
28,10,2,119070
29,10,2,119070
30,10,2,119070
31,10,2,119070
32,10,2,119070
33,10,2,119070
34,10,2,119070
35,10,2,119070
36,10,2,119070
1,11,2,10451
2,11,2,10451
3,11,2,10451
4,11,2,10451
5,11,2,10451
6,11,2,10451
7,11,2,10451
8,11,2,10451
9,11,2,10451
10,11,2,10451
11,11,2,10451
12,11,2,10451
13,11,2,10974
14,11,2,10974
15,11,2,10974
16,11,2,10974
17,11,2,10974
18,11,2,10974
19,11,2,10974
20,11,2,10974
21,11,2,10974
22,11,2,10974
23,11,2,10974
24,11,2,10974
25,11,2,11522
26,11,2,11522
27,11,2,11522
28,11,2,11522
29,11,2,11522
30,11,2,11522
31,11,2,11522
32,11,2,11522
33,11,2,11522
34,11,2,11522
35,11,2,11522
36,11,2,11522
1,13,2,80417
2,13,2,80417
3,13,2,80417
4,13,2,80417
5,13,2,80417
6,13,2,80417
7,13,2,80417
8,13,2,80417
9,13,2,80417
10,13,2,80417
11,13,2,80417
12,13,2,80417
13,13,2,84438
14,13,2,84438
15,13,2,84438
16,13,2,84438
17,13,2,84438
18,13,2,84438
19,13,2,84438
20,13,2,84438
21,13,2,84438
22,13,2,84438
23,13,2,84438
24,13,2,84438
25,13,2,88659
26,13,2,88659
27,13,2,88659
28,13,2,88659
29,13,2,88659
30,13,2,88659
31,13,2,88659
32,13,2,88659
33,13,2,88659
34,13,2,88659
35,13,2,88659
36,13,2,88659
1,14,2,12759
2,14,2,12759
3,14,2,12759
4,14,2,12759
5,14,2,12759
6,14,2,12759
7,14,2,12759
8,14,2,12759
9,14,2,12759
10,14,2,12759
11,14,2,12759
12,14,2,12759
13,14,2,13397
14,14,2,13397
15,14,2,13397
16,14,2,13397
17,14,2,13397
18,14,2,13397
19,14,2,13397
20,14,2,13397
21,14,2,13397
22,14,2,13397
23,14,2,13397
24,14,2,13397
25,14,2,14067
26,14,2,14067
27,14,2,14067
28,14,2,14067
29,14,2,14067
30,14,2,14067
31,14,2,14067
32,14,2,14067
33,14,2,14067
34,14,2,14067
35,14,2,14067
36,14,2,14067
1,16,2,8417
2,16,2,8417
3,16,2,8417
4,16,2,8417
5,16,2,8417
6,16,2,8417
7,16,2,8417
8,16,2,8417
9,16,2,8417
10,16,2,8417
11,16,2,8417
12,16,2,8417
13,16,2,8838
14,16,2,8838
15,16,2,8838
16,16,2,8838
17,16,2,8838
18,16,2,8838
19,16,2,8838
20,16,2,8838
21,16,2,8838
22,16,2,8838
23,16,2,8838
24,16,2,8838
25,16,2,9279
26,16,2,9279
27,16,2,9279
28,16,2,9279
29,16,2,9279
30,16,2,9279
31,16,2,9279
32,16,2,9279
33,16,2,9279
34,16,2,9279
35,16,2,9279
36,16,2,9279
1,17,2,7300
2,17,2,7300
3,17,2,7300
4,17,2,7300
5,17,2,7300
6,17,2,7300
7,17,2,7300
8,17,2,7300
9,17,2,7300
10,17,2,7300
11,17,2,7300
12,17,2,7300
13,17,2,7665
14,17,2,7665
15,17,2,7665
16,17,2,7665
17,17,2,7665
18,17,2,7665
19,17,2,7665
20,17,2,7665
21,17,2,7665
22,17,2,7665
23,17,2,7665
24,17,2,7665
25,17,2,8048
26,17,2,8048
27,17,2,8048
28,17,2,8048
29,17,2,8048
30,17,2,8048
31,17,2,8048
32,17,2,8048
33,17,2,8048
34,17,2,8048
35,17,2,8048
36,17,2,8048
1,20,2,158750
2,20,2,158750
3,20,2,158750
4,20,2,158750
5,20,2,158750
6,20,2,158750
7,20,2,158750
8,20,2,158750
9,20,2,158750
10,20,2,158750
11,20,2,158750
12,20,2,158750
13,20,2,166688
14,20,2,166688
15,20,2,166688
16,20,2,166688
17,20,2,166688
18,20,2,166688
19,20,2,166688
20,20,2,166688
21,20,2,166688
22,20,2,166688
23,20,2,166688
24,20,2,166688
25,20,2,175022
26,20,2,175022
27,20,2,175022
28,20,2,175022
29,20,2,175022
30,20,2,175022
31,20,2,175022
32,20,2,175022
33,20,2,175022
34,20,2,175022
35,20,2,175022
36,20,2,175022
1,21,2,19679
2,21,2,19679
3,21,2,19679
4,21,2,19679
5,21,2,19679
6,21,2,19679
7,21,2,19679
8,21,2,19679
9,21,2,19679
10,21,2,19679
11,21,2,19679
12,21,2,19679
13,21,2,20663
14,21,2,20663
15,21,2,20663
16,21,2,20663
17,21,2,20663
18,21,2,20663
19,21,2,20663
20,21,2,20663
21,21,2,20663
22,21,2,20663
23,21,2,20663
24,21,2,20663
25,21,2,21696
26,21,2,21696
27,21,2,21696
28,21,2,21696
29,21,2,21696
30,21,2,21696
31,21,2,21696
32,21,2,21696
33,21,2,21696
34,21,2,21696
35,21,2,21696
36,21,2,21696
1,32,2,9000
2,32,2,9000
3,32,2,9000
4,32,2,9000
5,32,2,9000
6,32,2,9000
7,32,2,9000
8,32,2,9000
9,32,2,9000
10,32,2,9000
11,32,2,9000
12,32,2,9000
13,32,2,9450
14,32,2,9450
15,32,2,9450
16,32,2,9450
17,32,2,9450
18,32,2,9450
19,32,2,9450
20,32,2,9450
21,32,2,9450
22,32,2,9450
23,32,2,9450
24,32,2,9450
25,32,2,9923
26,32,2,9923
27,32,2,9923
28,32,2,9923
29,32,2,9923
30,32,2,9923
31,32,2,9923
32,32,2,9923
33,32,2,9923
34,32,2,9923
35,32,2,9923
36,32,2,9923
1,33,2,0
2,33,2,0
3,33,2,0
4,33,2,0
5,33,2,0
6,33,2,0
7,33,2,0
8,33,2,0
9,33,2,0
10,33,2,0
11,33,2,0
12,33,2,0
13,33,2,0
14,33,2,0
15,33,2,0
16,33,2,0
17,33,2,0
18,33,2,0
19,33,2,0
20,33,2,0
21,33,2,0
22,33,2,0
23,33,2,0
24,33,2,0
25,33,2,0
26,33,2,0
27,33,2,0
28,33,2,0
29,33,2,0
30,33,2,0
31,33,2,0
32,33,2,0
33,33,2,0
34,33,2,0
35,33,2,0
36,33,2,0
1,23,2,37000
2,23,2,37000
3,23,2,37000
4,23,2,37000
5,23,2,37000
6,23,2,37000
7,23,2,37000
8,23,2,37000
9,23,2,37000
10,23,2,37000
11,23,2,37000
12,23,2,37000
13,23,2,38850
14,23,2,38850
15,23,2,38850
16,23,2,38850
17,23,2,38850
18,23,2,38850
19,23,2,38850
20,23,2,38850
21,23,2,38850
22,23,2,38850
23,23,2,38850
24,23,2,38850
25,23,2,40793
26,23,2,40793
27,23,2,40793
28,23,2,40793
29,23,2,40793
30,23,2,40793
31,23,2,40793
32,23,2,40793
33,23,2,40793
34,23,2,40793
35,23,2,40793
36,23,2,40793
1,24,2,3544
2,24,2,3544
3,24,2,3544
4,24,2,3544
5,24,2,3544
6,24,2,3544
7,24,2,3544
8,24,2,3544
9,24,2,3544
10,24,2,3544
11,24,2,3544
12,24,2,3544
13,24,2,3721
14,24,2,3721
15,24,2,3721
16,24,2,3721
17,24,2,3721
18,24,2,3721
19,24,2,3721
20,24,2,3721
21,24,2,3721
22,24,2,3721
23,24,2,3721
24,24,2,3721
25,24,2,3907
26,24,2,3907
27,24,2,3907
28,24,2,3907
29,24,2,3907
30,24,2,3907
31,24,2,3907
32,24,2,3907
33,24,2,3907
34,24,2,3907
35,24,2,3907
36,24,2,3907
1,26,2,4700
2,26,2,4700
3,26,2,4700
4,26,2,4700
5,26,2,4700
6,26,2,4700
7,26,2,4700
8,26,2,4700
9,26,2,4700
10,26,2,4700
11,26,2,4700
12,26,2,4700
13,26,2,4935
14,26,2,4935
15,26,2,4935
16,26,2,4935
17,26,2,4935
18,26,2,4935
19,26,2,4935
20,26,2,4935
21,26,2,4935
22,26,2,4935
23,26,2,4935
24,26,2,4935
25,26,2,5182
26,26,2,5182
27,26,2,5182
28,26,2,5182
29,26,2,5182
30,26,2,5182
31,26,2,5182
32,26,2,5182
33,26,2,5182
34,26,2,5182
35,26,2,5182
36,26,2,5182
1,27,2,0
2,27,2,0
3,27,2,0
4,27,2,0
5,27,2,0
6,27,2,0
7,27,2,0
8,27,2,0
9,27,2,0
10,27,2,0
11,27,2,0
12,27,2,0
13,27,2,0
14,27,2,0
15,27,2,0
16,27,2,0
17,27,2,0
18,27,2,0
19,27,2,0
20,27,2,0
21,27,2,0
22,27,2,0
23,27,2,0
24,27,2,0
25,27,2,0
26,27,2,0
27,27,2,0
28,27,2,0
29,27,2,0
30,27,2,0
31,27,2,0
32,27,2,0
33,27,2,0
34,27,2,0
35,27,2,0
36,27,2,0
1,29,2,55833
2,29,2,55833
3,29,2,55833
4,29,2,55833
5,29,2,55833
6,29,2,55833
7,29,2,55833
8,29,2,55833
9,29,2,55833
10,29,2,55833
11,29,2,55833
12,29,2,55833
13,29,2,58625
14,29,2,58625
15,29,2,58625
16,29,2,58625
17,29,2,58625
18,29,2,58625
19,29,2,58625
20,29,2,58625
21,29,2,58625
22,29,2,58625
23,29,2,58625
24,29,2,58625
25,29,2,61556
26,29,2,61556
27,29,2,61556
28,29,2,61556
29,29,2,61556
30,29,2,61556
31,29,2,61556
32,29,2,61556
33,29,2,61556
34,29,2,61556
35,29,2,61556
36,29,2,61556
1,30,2,10939
2,30,2,10939
3,30,2,10939
4,30,2,10939
5,30,2,10939
6,30,2,10939
7,30,2,10939
8,30,2,10939
9,30,2,10939
10,30,2,10939
11,30,2,10939
12,30,2,10939
13,30,2,11486
14,30,2,11486
15,30,2,11486
16,30,2,11486
17,30,2,11486
18,30,2,11486
19,30,2,11486
20,30,2,11486
21,30,2,11486
22,30,2,11486
23,30,2,11486
24,30,2,11486
25,30,2,12060
26,30,2,12060
27,30,2,12060
28,30,2,12060
29,30,2,12060
30,30,2,12060
31,30,2,12060
32,30,2,12060
33,30,2,12060
34,30,2,12060
35,30,2,12060
36,30,2,12060
1,2,1,13743232.56
2,2,1,14271457.69
3,2,1,14744583.7
4,2,1,14191396.43
5,2,1,15552931.2
6,2,1,17528573.26
7,2,1,15419381.14
8,2,1,15190394.66
9,2,1,16041208.21
10,2,1,18050662.34
11,2,1,18231708.92
12,2,1,18488222.48
13,2,1,17181768.37
14,2,1,16875481.72
15,2,1,16934715.82
16,2,1,20402016.01
17,2,1,20643261.67
18,2,1,20517209.03
19,2,1,18033131.26
20,2,1,18095821.68
21,2,1,21350856.63
22,2,1,19855618.62
23,2,1,20163349.5
24,2,1,22450498.96
25,2,1,19202841.7
26,2,1,20801256.56
27,2,1,21802967.13
28,2,1,23338752.19
29,2,1,22530635.88
30,2,1,21605083.18
31,2,1,21595197.64
32,2,1,23060831.41
33,2,1,23032644.88
34,2,1,21568581.12
35,2,1,23502796.27
36,2,1,21639604.31
1,3,1,450.6700686
2,3,1,470.8796077
3,3,1,489.5414422
4,3,1,478.85349
5,3,1,507.9025575
6,3,1,541.4465642
7,3,1,514.5335732
8,3,1,497.8491002
9,3,1,526.7729959
10,3,1,535.7084343
11,3,1,542.7439934
12,3,1,462.3545283
13,3,1,506.5125861
14,3,1,498.829125
15,3,1,479.1675313
16,3,1,464.6180109
17,3,1,518.0882465
18,3,1,542.8704829
19,3,1,488.9575134
20,3,1,519.8607901
21,3,1,517.0402402
22,3,1,527.8196645
23,3,1,454.1107099
24,3,1,500.418839
25,3,1,549.953932
26,3,1,477.5691402
27,3,1,478.9393023
28,3,1,487.2972687
29,3,1,465.6771243
30,3,1,542.8641131
31,3,1,463.6932923
32,3,1,542.6072263
33,3,1,478.4295727
34,3,1,456.9235344
35,3,1,453.2943695
36,3,1,454.1090776
1,4,1,494.1114603
2,4,1,516.2572715
3,4,1,533.8649968
4,4,1,453.9645028
5,4,1,503.4027212
6,4,1,459.1434526
7,4,1,493.5840732
8,4,1,467.8040913
9,4,1,465.6553363
10,4,1,507.2963524
11,4,1,486.3731748
12,4,1,507.34591
13,4,1,456.1157637
14,4,1,482.4466565
15,4,1,537.0151046
16,4,1,480.0544104
17,4,1,525.6749652
18,4,1,508.8722608
19,4,1,504.529053
20,4,1,452.7079807
21,4,1,527.1285116
22,4,1,465.3592814
23,4,1,476.9743912
24,4,1,472.2473122
25,4,1,494.8395141
26,4,1,455.6392418
27,4,1,505.3277326
28,4,1,516.905698
29,4,1,525.7322028
30,4,1,525.0399006
31,4,1,496.6755885
32,4,1,523.3762636
33,4,1,498.7041871
34,4,1,462.9035295
35,4,1,477.6875718
36,4,1,511.6500359
1,6,1,584235.6095
2,6,1,602047.662
3,6,1,628085.4427
4,6,1,638409.8424
5,6,1,590018.1491
6,6,1,636066.9025
7,6,1,621321.1985
8,6,1,601942.1413
9,6,1,633088.0866
10,6,1,648566.1018
11,6,1,690662.2204
12,6,1,763318.6648
13,6,1,750728.5936
14,6,1,801499.4065
15,6,1,809248.0418
16,6,1,743921.3075
17,6,1,744630.6401
18,6,1,751750.906
19,6,1,737523.8392
20,6,1,763568.0361
21,6,1,857226.7079
22,6,1,809388.0145
23,6,1,854666.0366
24,6,1,832730.8374
25,6,1,758243.1362
26,6,1,860465.016
27,6,1,929742.7118
28,6,1,940383.5103
29,6,1,872278.419
30,6,1,894090.3626
31,6,1,840773.7973
32,6,1,908334.7164
33,6,1,857424.2062
34,6,1,847629.041
35,6,1,850929.1038
36,6,1,1005351.141
1,7,1,467.7951311
2,7,1,530.4062774
3,7,1,460.5640866
4,7,1,463.6173601
5,7,1,539.4921246
6,7,1,482.8005515
7,7,1,453.4318456
8,7,1,543.8560002
9,7,1,498.0490978
10,7,1,522.7212396
11,7,1,549.2448653
12,7,1,529.0493595
13,7,1,470.7599431
14,7,1,476.3552312
15,7,1,543.5003888
16,7,1,547.448344
17,7,1,518.0833545
18,7,1,501.5365321
19,7,1,454.6642972
20,7,1,495.5601615
21,7,1,471.3029701
22,7,1,520.7926587
23,7,1,511.5547437
24,7,1,484.2745999
25,7,1,477.7956537
26,7,1,530.0510693
27,7,1,474.727036
28,7,1,498.3349686
29,7,1,509.8435616
30,7,1,451.5633619
31,7,1,498.2348926
32,7,1,458.8540258
33,7,1,488.3358418
34,7,1,467.6714194
35,7,1,535.11588
36,7,1,510.7041191
1,10,1,107188.0408
2,10,1,106537.895
3,10,1,100450.0223
4,10,1,106242.767
5,10,1,109812.3675
6,10,1,112066.1495
7,10,1,102780.2286
8,10,1,103720.8241
9,10,1,117482.8284
10,10,1,104617.0422
11,10,1,99741.33618
12,10,1,98184.22052
13,10,1,103301.5563
14,10,1,118624.961
15,10,1,115960.7422
16,10,1,102514.7964
17,10,1,114722.4874
18,10,1,124736.2362
19,10,1,123411.6182
20,10,1,102103.7026
21,10,1,123774.1369
22,10,1,103289.6567
23,10,1,118772.555
24,10,1,103287.8903
25,10,1,119149.6055
26,10,1,119963.0332
27,10,1,122445.2308
28,10,1,126311.3223
29,10,1,116887.8352
30,10,1,126620.3367
31,10,1,112995.0173
32,10,1,107951.5185
33,10,1,111305.1751
34,10,1,115647.296
35,10,1,114353.3112
36,10,1,109395.9476
1,11,1,10561.73566
2,11,1,11223.42993
3,11,1,11364.77342
4,11,1,10042.29575
5,11,1,10905.16962
6,11,1,9773.041888
7,11,1,9595.663444
8,11,1,9691.855398
9,11,1,10514.27672
10,11,1,10913.39194
11,11,1,11116.88365
12,11,1,10882.89047
13,11,1,10832.54606
14,11,1,10607.48148
15,11,1,10267.22502
16,11,1,11649.2648
17,11,1,10674.35645
18,11,1,11798.41432
19,11,1,10625.86375
20,11,1,10942.01401
21,11,1,10382.87446
22,11,1,10186.12758
23,11,1,10460.37511
24,11,1,11937.1449
25,11,1,10511.68366
26,11,1,11468.11862
27,11,1,12027.48396
28,11,1,11196.19184
29,11,1,11513.84539
30,11,1,11223.98549
31,11,1,12007.81427
32,11,1,10747.52166
33,11,1,11445.98174
34,11,1,11423.25932
35,11,1,11316.5782
36,11,1,12633.33992
1,13,1,74276.68022
2,13,1,75207.8648
3,13,1,79683.8819
4,13,1,82561.92209
5,13,1,82584.12242
6,13,1,82538.84928
7,13,1,74282.8098
8,13,1,77570.78668
9,13,1,80255.45511
10,13,1,72825.85356
11,13,1,76254.41312
12,13,1,76101.8684
13,13,1,89127.48589
14,13,1,83178.46166
15,13,1,91256.35594
16,13,1,87648.22328
17,13,1,87974.65751
18,13,1,83958.03442
19,13,1,90205.51857
20,13,1,78953.04105
21,13,1,77072.70737
22,13,1,78975.96941
23,13,1,80418.10425
24,13,1,83268.86047
25,13,1,86196.14831
26,13,1,93549.63267
27,13,1,84311.94753
28,13,1,81901.61757
29,13,1,93983.34044
30,13,1,83546.06166
31,13,1,84387.22528
32,13,1,89433.32717
33,13,1,89497.77286
34,13,1,93806.65826
35,13,1,81829.4142
36,13,1,82485.90654
1,14,1,13495.76117
2,14,1,11806.30345
3,14,1,11672.32082
4,14,1,13303.23957
5,14,1,11680.84456
6,14,1,12953.07889
7,14,1,13446.94603
8,14,1,12272.9669
9,14,1,13751.05021
10,14,1,13959.85782
11,14,1,12879.58888
12,14,1,12809.78543
13,14,1,14672.65138
14,14,1,13736.31526
15,14,1,14091.54171
16,14,1,13349.51603
17,14,1,12252.48914
18,14,1,12783.84939
19,14,1,13611.6768
20,14,1,14278.21138
21,14,1,13983.35802
22,14,1,14056.70871
23,14,1,13835.53519
24,14,1,14331.48371
25,14,1,14092.03135
26,14,1,12925.26319
27,14,1,14030.01034
28,14,1,14384.82134
29,14,1,15073.72713
30,14,1,15194.3933
31,14,1,14189.1415
32,14,1,13260.32437
33,14,1,13941.66014
34,14,1,14286.86938
35,14,1,14468.28578
36,14,1,14662.72595
1,16,1,9167.033961
2,16,1,8599.960705
3,16,1,8325.344401
4,16,1,9049.552808
5,16,1,7582.881256
6,16,1,8644.954826
7,16,1,7622.412752
8,16,1,8050.171803
9,16,1,9120.377368
10,16,1,8733.546493
11,16,1,8750.517196
12,16,1,9113.279677
13,16,1,9646.235534
14,16,1,9299.783213
15,16,1,8866.72993
16,16,1,9621.856963
17,16,1,8566.029597
18,16,1,8706.118332
19,16,1,9660.247644
20,16,1,7961.294164
21,16,1,8604.364191
22,16,1,8205.862148
23,16,1,7957.671614
24,16,1,9495.534064
25,16,1,8757.686286
26,16,1,9249.46112
27,16,1,8880.668619
28,16,1,8658.682774
29,16,1,9353.682268
30,16,1,9290.545737
31,16,1,9683.076634
32,16,1,8995.666776
33,16,1,8654.698471
34,16,1,8569.223031
35,16,1,9402.497034
36,16,1,8442.851312
1,17,1,7320.000746
2,17,1,7157.492673
3,17,1,7062.573761
4,17,1,7308.731609
5,17,1,6957.75908
6,17,1,7306.119095
7,17,1,6948.58928
8,17,1,7526.521248
9,17,1,7039.150166
10,17,1,7822.283021
11,17,1,7610.732723
12,17,1,7015.717602
13,17,1,8279.174768
14,17,1,7313.223832
15,17,1,7177.141503
16,17,1,7827.612752
17,17,1,7753.431293
18,17,1,7812.733562
19,17,1,7423.734617
20,17,1,8357.465371
21,17,1,7257.989462
22,17,1,7693.425889
23,17,1,8000.015575
24,17,1,7446.466425
25,17,1,7307.451935
26,17,1,7671.717346
27,17,1,8723.186658
28,17,1,7722.045596
29,17,1,7732.290447
30,17,1,8730.548553
31,17,1,8637.844397
32,17,1,8803.62145
33,17,1,8205.834528
34,17,1,7827.91718
35,17,1,8136.154447
36,17,1,8787.727652
1,20,1,169459.4165
2,20,1,165808.0735
3,20,1,169850.7982
4,20,1,153131.2068
5,20,1,151743.4868
6,20,1,168117.2779
7,20,1,159620.4449
8,20,1,148099.6148
9,20,1,150076.3145
10,20,1,163425.3942
11,20,1,151657.5682
12,20,1,171691.5125
13,20,1,166745.9478
14,20,1,159178.8508
15,20,1,171852.8176
16,20,1,169148.3316
17,20,1,160347.3473
18,20,1,154717.1996
19,20,1,152094.2405
20,20,1,168670.1949
21,20,1,181429.8669
22,20,1,182941.4977
23,20,1,171162.5927
24,20,1,169769.1667
25,20,1,188042.8591
26,20,1,171493.489
27,20,1,178062.1978
28,20,1,184816.5604
29,20,1,164314.608
30,20,1,165220.232
31,20,1,190771.1722
32,20,1,189589.1238
33,20,1,158607.0367
34,20,1,159991.4055
35,20,1,186066.86
36,20,1,175422.9886
1,21,1,19599.47639
2,21,1,21232.08207
3,21,1,18489.21806
4,21,1,18970.35441
5,21,1,21299.12232
6,21,1,20365.13009
7,21,1,19088.71419
8,21,1,19690.22714
9,21,1,21461.01276
10,21,1,18500.48835
11,21,1,21333.77871
12,21,1,21419.81654
13,21,1,19717.52485
14,21,1,18819.58011
15,21,1,21225.03989
16,21,1,21235.69286
17,21,1,20146.98312
18,21,1,21745.93478
19,21,1,19856.10454
20,21,1,20948.49978
21,21,1,22678.34445
22,21,1,20387.02356
23,21,1,21895.75238
24,21,1,22171.69763
25,21,1,20416.52254
26,21,1,19681.14459
27,21,1,20982.52524
28,21,1,22437.51292
29,21,1,21992.11818
30,21,1,23390.90819
31,21,1,23114.05158
32,21,1,22088.8925
33,21,1,21175.80836
34,21,1,23337.82782
35,21,1,20639.64702
36,21,1,20384.47649
1,32,1,8262.430729
2,32,1,8673.103346
3,32,1,8254.146302
4,32,1,9338.390279
5,32,1,8694.027634
6,32,1,8959.062321
7,32,1,8880.7072
8,32,1,8793.318156
9,32,1,8520.453246
10,32,1,8430.124551
11,32,1,8763.019486
12,32,1,8964.367211
13,32,1,8517.305208
14,32,1,8661.093248
15,32,1,10338.81539
16,32,1,8647.406474
17,32,1,9101.095486
18,32,1,9743.584034
19,32,1,10341.37804
20,32,1,9139.366396
21,32,1,10325.1652
22,32,1,8950.24252
23,32,1,9771.269226
24,32,1,9086.054114
25,32,1,9896.626271
26,32,1,10755.0651
27,32,1,9943.658701
28,32,1,10427.44813
29,32,1,10460.53312
30,32,1,9788.493365
31,32,1,9321.761446
32,32,1,9289.792684
33,32,1,9926.123799
34,32,1,10396.67505
35,32,1,9817.397489
36,32,1,9072.609206
1,33,1,0
2,33,1,0
3,33,1,0
4,33,1,0
5,33,1,0
6,33,1,0
7,33,1,0
8,33,1,0
9,33,1,0
10,33,1,0
11,33,1,0
12,33,1,0
13,33,1,0
14,33,1,0
15,33,1,0
16,33,1,0
17,33,1,0
18,33,1,0
19,33,1,0
20,33,1,0
21,33,1,0
22,33,1,0
23,33,1,0
24,33,1,0
25,33,1,0
26,33,1,0
27,33,1,0
28,33,1,0
29,33,1,0
30,33,1,0
31,33,1,0
32,33,1,0
33,33,1,0
34,33,1,0
35,33,1,0
36,33,1,0
1,23,1,33468.65924
2,23,1,37769.51753
3,23,1,39743.28191
4,23,1,36057.18967
5,23,1,36118.64443
6,23,1,38619.99365
7,23,1,36375.39319
8,23,1,37719.67431
9,23,1,35686.33556
10,23,1,40285.84121
11,23,1,35271.02449
12,23,1,34526.74552
13,23,1,40497.35478
14,23,1,35399.15067
15,23,1,35826.40513
16,23,1,41590.01971
17,23,1,42037.86472
18,23,1,42511.35418
19,23,1,40722.57815
20,23,1,37036.15248
21,23,1,40778.90403
22,23,1,42303.20427
23,23,1,36802.75785
24,23,1,38877.31758
25,23,1,37377.5645
26,23,1,39375.28457
27,23,1,38550.02072
28,23,1,43575.74958
29,23,1,39024.78787
30,23,1,37112.64588
31,23,1,37765.36229
32,23,1,43014.75951
33,23,1,43534.33654
34,23,1,38976.82561
35,23,1,41788.12258
36,23,1,37470.44384
1,24,1,3368.852746
2,24,1,3523.845632
3,24,1,3626.480324
4,24,1,3331.389465
5,24,1,3849.099909
6,24,1,3502.558015
7,24,1,3878.821922
8,24,1,3362.292514
9,24,1,3308.260344
10,24,1,3789.514152
11,24,1,3745.473213
12,24,1,3381.299106
13,24,1,3729.876411
14,24,1,4082.611541
15,24,1,3744.659501
16,24,1,3388.008173
17,24,1,3945.550631
18,24,1,3844.284775
19,24,1,3801.404084
20,24,1,3984.652107
21,24,1,3905.443292
22,24,1,3629.848722
23,24,1,3894.99649
24,24,1,4092.138096
25,24,1,4046.588032
26,24,1,3540.649824
27,24,1,3948.014186
28,24,1,4084.437636
29,24,1,3601.676523
30,24,1,4294.793494
31,24,1,3720.914399
32,24,1,3914.747313
33,24,1,3617.988005
34,24,1,3728.000896
35,24,1,3894.625408
36,24,1,4035.87135
1,26,1,4435.853028
2,26,1,4397.710687
3,26,1,4889.989012
4,26,1,5042.274747
